Date,Total number of license issued, lowest price ,avg price,Total number of applicants
2007/6,6000,47200,47711,11478
2007/7,5500,45200,46581,10327
2007/8,8000,46500,46897,12943
2007/9,8500,48600,49631,10561
2007/10,7500,50500,51000,10715
2007/11,7500,53800,54317,10596
2007/12,7500,50000,56042,10356
2008/1,16000,8100,23370,20539
2008/3,9300,31300,32169,63534
2008/4,9000,37300,37659,37072
2008/5,8200,34400,36047,26341
2008/6,7700,33900,34947,21208
2008/7,6800,33800,34491,16783
2008/8,6000,35900,36460,13451
2008/9,6500,29300,31788,11002
2008/10,5000,32600,33224,11882
2008/11,5500,21800,24351,10170
2008/12,4500,31000,31665,16801
2009/1,5200,28600,29399,16544
2009/2,5200,33000,33394,16848
2009/3,6000,26600,27552,18575
2009/4,6500,28300,28724,17654
2009/5,7200,28500,29100,16471
2009/6,8000,30000,30363,17433
2009/7,8000,32100,32522,17220
2009/8,8000,36000,36231,18750
2009/9,8500,27200,29500,14906
2009/10,8000,33900,34402,22006
2009/11,8000,34900,35317,21902
2009/12,8000,36900,37593,18577
2010/1,8000,37800,38311,18975
2010/2,7500,38300,38620,18810
2010/3,8000,39600,39882,17704
2010/4,8500,41000,41637,17313
2010/5,8500,41900,42262,16324
2010/6,9200,39200,40380,16252
2010/7,9000,38400,39362,13389
2010/8,9000,39800,40169,16855
2010/9,9000,41800,42180,15198
2010/10,9000,43000,43271,14941
2010/11,8500,44900,45291,13429
2010/12,9000,10400,15970,11224
2011/1,8000,38300,38771,30675
2011/2,7500,44200,44627,25104
2011/3,8000,46200,46657,25014
2011/4,8000,46300,47399,22326
2011/5,9000,47400,47700,25708
2011/6,9000,48500,48855,22474
2011/7,9000,50900,51174,21852
2011/8,9000,51000,52228,21544
2011/9,9500,52200,52622,22268
2011/10,9000,53800,54008,19415
2011/11,9000,45700,47635,20050
2011/12,8500,51000,51437,26531
2012/1,8000,52800,53195,24354
2012/2,8000,55400,55632,23391
2012/3,8000,58300,58625,24897
2012/4,8500,61000,61626,22706
2012/5,9300,64000,64367,24230
2012/6,9500,55800,58227,24774
2012/7,9500,57700,58271,26526
2012/8,9500,62100,62559,21425
2012/9,9500,65700,66425,19114
2012/10,9500,65200,66708,19921
2012/11,9500,66400,66946,19120
2012/12,9500,68900,69346,18244
2013/1,9000,75000,75332,20857
2013/2,9000,83300,83571,24651
2013/3,9000,90800,91898,23589
2013/4,11000,83900,84101,26174
2013/5,9000,80700,80803,22224
2013/6,9000,77600,77823,21482
2013/7,9000,76300,76465,21811
2013/8,9000,74700,74939,22650
2013/9,9000,73400,73492,35154
2013/10,10000,82300,83723,28887
2013/11,8500,75500,75717,38220
2013/12,8500,76000,76093,39625
2014/1,8100,73500,73501,41946
2014/2,7400,73200,73357,45758
2014/3,7400,73800,73872,61853
2014/4,8200,74000,74113,94241
2014/5,7400,74400,74503,114121
2014/6,7400,73800,73896,135677
2014/7,7400,74600,74680,136098
2014/8,7400,73600,73785,121550
2014/9,8300,73800,73875,122219
2014/10,7400,74000,74075,105532
2014/11,7400,73500,73633,95595
2014/12,7447,73600,73687,96972
2015/1,7990,74000,74216,98203
2015/2,7653,76500,76618,103224
2015/3,7406,74600,74830,132690
2015/4,8288,80600,80759,152298
2015/5,7482,79000,79099,156007
2015/6,7441,80000,80020,172205
2015/7,7531,83100,83171,166302
2015/8,7454,82600,82642,166939
2015/9,8727,82100,82172,165765
2015/10,7763,85300,85424,170995
2015/11,7514,84600,84703,169159
2015/12,7698,84500,84572,179133
2016/1,9409,82200,82352,187533
2016/2,8363,83200,83244,196470
2016/3,8310,83100,83148,221109
2016/4,11829,85100,85127,256897
2016/5,11598,85000,85058,277889
2016/6,11546,84400,84483,275438
2016/7,11475,87200,87235,240750
2016/8,11549,86900,86946,251188
2016/9,12889,86500,86523,229544
2016/10,11621,88300,88359,213212
2016/11,11549,88600,88665,215424
2016/12,12261,88300,88412,219882
2017/1,12215,87600,87685,232101
2017/2,10157,88200,88240,251717
2017/3,10356,87800,87916,262010
2017/4,12196,89800,89850,252273
2017/5,10316,90100,90209,270197
2017/6,10312,89400,89532,244349
2017/7,10325,92200,92250,269189
2017/8,10558,91600,91629,256083
2017/9,12413,91300,91415,250566
2017/10,11388,93500,93540,244868
2017/11,11002,93100,93130,226911
2017/12,12147,92800,92848,228148
2018/1,12183,87900,87936,226316
