ConditionName,ConditionSNOMED,PathogenName,PathogenTaxonID,Fatalities,CountryName,CountryISO,Admin1Name,Admin1ISO,Admin2Name,CityName,PeriodStartDate,PeriodEndDate,PartOfCumulativeCountSeries,AgeRange,Subpopulation,PlaceOfAquisition,DiagnosisCertainty,SourceName,CountValue,DOI
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-02-05,1928-02-11,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,101.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-02-12,1928-02-18,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,116.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-02-19,1928-02-25,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,114.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-02-26,1928-03-03,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,126.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-03-04,1928-03-10,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,79.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-03-11,1928-03-17,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,144.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-03-18,1928-03-24,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,238.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-03-25,1928-03-31,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,123.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-04-01,1928-04-07,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,138.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-04-08,1928-04-14,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,138.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-04-15,1928-04-21,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,128.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-04-22,1928-04-28,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,111.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-04-29,1928-05-05,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,123.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-05-06,1928-05-12,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,109.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-05-13,1928-05-19,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,133.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-05-20,1928-05-26,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,89.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-05-27,1928-06-02,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,87.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-06-03,1928-06-09,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,76.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-06-10,1928-06-16,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,59.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-06-17,1928-06-23,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,54.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-06-24,1928-06-30,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,35.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-07-01,1928-07-07,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,26.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-07-08,1928-07-14,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,43.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-07-15,1928-07-21,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,19.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-07-22,1928-07-28,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,16.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-07-29,1928-08-04,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,16.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-08-05,1928-08-11,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,14.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-08-12,1928-08-18,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,10.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-08-19,1928-08-25,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,13.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-08-26,1928-09-01,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,3.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-09-02,1928-09-08,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,5.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-09-09,1928-09-15,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,2.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-09-16,1928-09-22,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,8.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-09-23,1928-09-29,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,4.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-09-30,1928-10-06,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,8.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-10-07,1928-10-13,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,9.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-10-14,1928-10-20,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,10.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-10-21,1928-10-27,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,24.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-10-28,1928-11-03,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,8.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-11-04,1928-11-10,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,12.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-11-11,1928-11-17,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,7.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-11-18,1928-11-24,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,34.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-11-25,1928-12-01,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,50.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-12-02,1928-12-08,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,44.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-12-09,1928-12-15,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,35.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-12-16,1928-12-22,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,43.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-12-23,1928-12-29,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,47.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1928-12-30,1929-01-05,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,56.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-01-06,1929-01-12,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,52.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-01-13,1929-01-19,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,72.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-01-20,1929-01-26,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,63.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-01-27,1929-02-02,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,42.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-02-03,1929-02-09,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,109.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-02-10,1929-02-16,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,40.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-02-17,1929-02-23,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,35.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-02-24,1929-03-02,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,41.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-03-03,1929-03-09,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,108.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-03-10,1929-03-16,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,83.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-03-17,1929-03-23,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,60.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-03-24,1929-03-30,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,88.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-03-31,1929-04-06,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,92.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-04-07,1929-04-13,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,48.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-04-14,1929-04-20,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,41.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-04-21,1929-04-27,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,24.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-04-28,1929-05-04,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,85.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-05-05,1929-05-11,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,81.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-05-12,1929-05-18,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,79.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-05-19,1929-05-25,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,77.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-05-26,1929-06-01,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,116.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-06-02,1929-06-08,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,88.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-06-09,1929-06-15,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,70.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-06-16,1929-06-22,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,43.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-06-23,1929-06-29,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,65.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-06-30,1929-07-06,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,55.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-07-07,1929-07-13,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,31.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-07-14,1929-07-20,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,54.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-07-21,1929-07-27,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,26.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-07-28,1929-08-03,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,53.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-08-04,1929-08-10,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,18.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-08-11,1929-08-17,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,25.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-08-18,1929-08-24,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,5.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-08-25,1929-08-31,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,13.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-09-01,1929-09-07,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,10.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-09-08,1929-09-14,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,17.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-09-15,1929-09-21,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,19.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-09-22,1929-09-28,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,15.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-09-29,1929-10-05,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,21.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-10-06,1929-10-12,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,21.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-10-13,1929-10-19,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,13.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-10-20,1929-10-26,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,31.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-10-27,1929-11-02,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,101.0,10.25337/T7/ptycho.v2.0/US.67924001
Smallpox,67924001,Variola virus,10255,0,UNITED STATES OF AMERICA,US,INDIANA,US-IN,NA,NA,1929-11-03,1929-11-09,0,0-130,None specified,NA,NA,US Nationally Notifiable Disease Surveillance System,91.0,10.25337/T7/ptycho.v2.0/US.67924001
